Avoir,ai eu,as eu,a eu,a eu,avons eu,avez eu,ont eu,ont eu
Être,ai été,as été,a été,a été,avons été,avez été,ont été,ont été
Aller,suis allé,es allé,est allé,est allée,sommes allés,êtes allés,sont allés,sont allées
Faire,ai fait,as fait,a fait,a fait,avons fait,avez fait,ont fait,ont fait
Pouvoir,ai pu,as pu,a pu,a pu,avons pu,avez pu,ont pu,ont pu
Mettre,ai mis,as mis,a mis,a mis,avons mis,avez mis,ont mis,ont mis
Dire,ai dit,as dit,a dit,a dit,avons dit,avez dit,ont dit,ont dit
Devoir,ai dû,as dû,a dû,a dû,avons dû,avez dû,ont dû,ont dû
Prendre,ai pris,as pris,a pris,a pris,avons pris,avez pris,ont pris,ont pris
Donner,ai donné,as donné,a donné,a donné,avons donné,avez donné,ont donné,ont donné
Vouloir,ai voulu,as voulu,a voulu,a voulu,avons voulu,avez voulu,ont voulu,ont voulu
Savoir,ai su,as su,a su,a su,avons su,avez su,ont su,ont su
Voir,ai vu,as vu,a vu,a vu,avons vu,avez vu,ont su,ont su
Demander,ai demandé,as demandé,a demandé,a demandé,avons demandé,avez demandé,ont demandé,ont demandé
Trouver,ai trouvé,as trouvé,a trouvé,a trouvé,avons trouvé,avez trouvé,ont trouvé,ont trouvé
Rendre,ai rendu,as rendu,a rendu,a rendu,avons rendu,avez rendu,ont rendu,ont rendu
Venir,suis venu,es venu,est venu,est venue,sommes venus,êtes venus,sont venus,sont venues
Passer,ai passé,as passé,a passé,a passé,avons passé,avez passé,ont passé,ont passé
Comprendre,ai compris,as compris,a compris,a compris,avons compris,avez compris,ont compris,ont compris
Rester,suis resté,es resté,est resté,est restée,sommes restés,êtes restés,sont restés,sont restées
Tenir,ai tenu,as tenu,a tenu,a tenu,avons tenu,avez tenu,ont tenu,ont tenu
Porter,ai porté,as porté,a porté,a porté,avons porté,avez porté,ont porté,ont porté
Parler,ai parlé,as parlé,a parlé,a parlé,avons parlé,avez parlé,ont parlé,ont parlé
Montrer,ai montré,as montré,a montré,a montré,avons montré,avez montré,ont montré,ont montré
Continuer,ai continué,as continué,a continué,a continué,avons continué,avez continué,ont continué,ont continué
Penser,ai pensé,as pensé,a pensé,a pensé,avons pensé,avez pensé,ont pensé,ont pensé
Suivre,ai suivi,as suivi,a suivi,a suivi,avons suivi,avez suivi,ont suivi,ont suivi
Connaître,ai connu,as connu,a connu,a connu,avons connu,avez connu,ont connu,ont connu
Croire,ai cru,as cru,a cru,a cru,avons cru,avez cru,ont cru,ont cru
Commencer,ai commencé,as commencé,a commencé,a commencé,avons commencé,avez commencé,ont commencé,ont commencé
Compter,ai compté,as compté,a compté,a compté,avons compté,avez compté,ont compté,ont compté
Entendre,ai entendu,as entendu,a entendu,a entendu,avons entendu,avez entendu,ont entendu,ont entendu
Attendre,ai attendu,as attendu,a attendu,a attendu,avons attendu,avez attendu,ont attendu,ont attendu
Remettre,ai remis,as remis,a remis,a remis,avons remis,avez remis,ont remis,ont remis
Appeler,ai appelé,as appelé,a appelé,a appelé,avons appelé,avez appelé,ont appelé,ont appelé
Permettre,ai permis,as permis,a permis,a permis,avons permis,avez permis,ont permis,ont permis
Occuper,ai occupé,as occupé,a occupé,a occupé,avons occupé,avez occupé,ont occupé,ont occupé
Devenir,suis devenu,es devenu,est devenu,est devenue,sommes devenus,êtes devenus,sont devenus,sont devenues
Partir,suis parti,es parti,est parti,est partie,sommes partis,êtes partis,sont partis,sont parties
Décider,ai décidé,as décidé,a décidé,a décidé,avons décidé,avez décidé,ont décidé,ont décidé
Arriver,suis arrivé,es arrivé,est arrivé,est arrivée,sommes arrivés,êtes arrivés,sont arrivés,sont arrivées
Servir,ai servi,as servi,a servi,a servi,avons servi,avez servi,ont servi,ont servi
Sembler,ai semblé,as semblé,a semblé,a semblé,avons semblé,avez semblé,ont semblé,ont semblé
Revenir,suis revenu,es revenu,est revenu,est revenue,sommes revenus,êtes revenus,sont revenus,sont revenues
Laisser,ai laissé,as laissé,a laissé,a laissé,avons laissé,avez laissé,ont laissé,ont laissé
Recevoir,ai reçu,as reçu,a reçu,a reçu,avons reçu,avez reçu,ont reçu,ont reçu
Répondre,ai répondu,as répondu,a répondu,a répondu,avons répondu,avez répondu,ont répondu,ont répondu
Vivre,ai vécu,as vécu,a vécu,a vécu,avons vécu,avez vécu,ont vécu,ont vécu
Rappeler,ai rappelé,as rappelé,a rappelé,a rappelé,avons rappelé,avez rappelé,ont rappelé,ont rappelé
