Avoir, avais, avais, avait, avait, avions, aviez, avaient, avaient
Être, étais, étais, était, était, étions, étiez, étaient, étaient
Aller, allais, allais, allait, allait, allions, alliez, allaient, allaient
Faire, faisais, faisais, faisait, faisait, faisions, faisiez, faisaient, faisaient
Pouvoir, pouvais, pouvais, pouvait, pouvait, pouvions, pouviez, pouvaient, pouvaient
Mettre, mettais, mettais, mettait, mettait, mettions, mettiez, mettaient, mettaient
Dire, disais, disais, disait, disait, disions, disiez, disaient, disaient
Devoir, devais, devais, devait, devait, devions, deviez, devaient, devaient
Prendre, prenais, prenais, prenait, prenait, prenions, preniez, prenaient
Donner, donnais, donnais, donnait, donnait, donnions, donniez, donnaient, donnaient
Vouloir, voulais, voulais, voulait, voulait, voulions, vouliez, voulaient, voulaient
Savoir, savais, savais, savait, savait, savions, saviez, savaient, savaient
Voir, voyais, voyais, voyait, voyait, voyions, voyiez, voyaient, voyaient
Demander, demandais, demandais, demandait, demandait, demandions, demandiez, demandaient, demandaient
Trouver, trouvais, trouvais, trouvait, trouvait, trouvions, trouviez, trouvaient, trouvaient
Rendre, rendais, rendais, rendait, rendait, rendions, rendiez, rendaient, rendaient
Venir, venais, venais, venait, venait, venions, veniez, venaient, venaient
Passer, passais, passais, passait, passait, passions, passiez, passaient, passaient
Comprendre, comprenais, comprenais, comprenait, comprenait, comprenions, compreniez, comprenaient, comprenaient
Rester, restais, restais, restait, restait, restions, restiez, restaient, restaient
Tenir, tenais, tenais, tenait, tenait, tenions, teniez, tenaient, tenaient
Porter, portais, portais, portait, portait, portions, portiez, portaient, portaient
Parler, parlais, parlais, parlait, parlait, parlions, parliez, parlaient, parlaient
Montrer, montrais, montrais, montrait, montrait, montrions, montriez, montraient, montraient
Continuer, continuais, continuais, continuait, continuait, continuions, continuiez, continuaient, continuaient
Penser, pensais, pensais, pensait, pensait, pensions, pensiez, pensaient, pensaient
Suivre, suivais, suivais, suivait, suivait, suivions, suiviez, suivaient, suivaient
Connaître, connaissais, connaissais, connaissait, connaassait, connaissions, connaissiez, connaissaient, connaissaient
Croire, croyais, croyais, croyait, croyait, croyions, croyiez, croyaient, croyaient
Commencer, commençais, commençais, commençait, commençait, commençions, commençiez, commençaient, commençaient
Compter, comptais, comptais, comptait, comptait, comptions, comptiez, comptaient, comptaient
Entendre, entendais, entendais, entendait, entendait, entendions, entendiez, entendaient, entendaient
Attendre, attendais, attendais, attendait, attendait, attendions, attendiez, attendaient, attendaient
Remettre, remettais, remettais, remettait, remettait, remettions, remettiez, remettaient, remettaient
Appeler, appelais, appelais, appelait, appelait, appelions, appeliez, appelaient, appelaient
Permettre, permettais, permettais, permettait, permettait, permettions, permettiez, permettaient, permettaient
Occuper, occupais, occupais, occupait, occupait, occupions, occupiez, occupaient, occupaient
Devenir, devenais, devenais, devenait, devenait, devenions, deveniez, devenaient, devenaient
Partir, partais, partais, partait, partait, partions, partiez, partaient, partaient
Décider, décidais, décidais, décidait, décidait, décidions, décidiez, décidaient, décidaient
Arriver, arrivais, arrivais, arrivait, arrivait, arrivions, arriviez, arrivaient, arrivaient
Servir, servais, servais, servait, servait, servions, serviez, servaient, servaient
Sembler, semblais, semblais, semblait, semblait, semblions, sembliez, semblaient, semblaient
Revenir, revenais, revenais, revenait, revenait, revenions, reveniez, revenaient, revenaient
Laisser, laissais, laissais, laissait, laissait, laissions, laissiez, laissaient, laissaient
Recevoir, recevais, recevais, recevait, recevait, recevions, receviez, recevaient, recevaient
Répondre, répondais, répondais, répondait, répondait, répondions, répondiez, répondaient, répondaient
Vivre, vivais, vivais, vivait, vivait, vivions, viviez, vivaient, vivaient
Rappeler, rappelais, rappelais, rappelait, rappelait, rappelions, rappeliez, rappelaient
